"Year","Population_mean","Population_sd","GNI_mean","GNI_sd","GDP_mean","GDP_sd","Exports_mean","Exports_sd","Industry_mean","Industry_sd","Agriculture_mean","Agriculture_sd","GDI_mean","GDI_sd","Imports_mean","Imports_sd","Life_Expct_mean","Life_Expct_sd","Land_km2_mean","Land_km2_sd","Services_mean","Services_sd","Mortality_mean","Mortality_sd","PovertyHCR_mean","PovertyHCR_sd","PrimaryEd_mean","PrimaryEd_sd","Employ_mean","Employ_sd","GDPpc_mean","GDPpc_sd","HDI_mean","HDI_sd","HDI_idx_mean","HDI_idx_sd"
2000,15571392.375,16098490.3305744,140300040312.017,290222264256.4,141553193169.688,291667813452.792,78822787973.1061,105261780259.4,46090674535.1481,75467682026.4081,4695552732.15739,7702816110.18561,NA,NA,69075400209.6384,99682960735.6474,66.4266265243902,11.6546607372227,418900.9375,490766.480282625,109051751790.206,210985120556.414,60.60625,67.1362442475498,5.775,10.4263688150126,76.5112363641912,28.5057802933483,55.4151875,14.2822352789226,18983.4927835674,17545.470782867,0.6360625,0.218591085133864,1,0
2001,15808672.1875,16202976.3391827,140800249458.811,296209634480.512,142657603288.492,298309634124.661,76624452538.5636,106094305639.133,45081635825.9256,76442449915.6634,4537286679.51885,7601537580.03054,NA,NA,67854176031.4321,98603879129.0454,66.6822591463415,11.6141732095562,418900.9375,490766.480282625,112418199541.866,217353173114.997,58.59375,64.8625466531598,NA,NA,76.6854644351536,27.601953411667,55.3290625,14.3848982314498,19467.1570824962,17866.5085384458,0.64125,0.216251242770995,1.01121885241039,0.0136033386678302
2002,16053443.6875,16319221.7036393,152987068930.327,323916440453.097,155216982026.223,326907876079.111,75044377258.7486,108433027540.12,45719651161.3328,80300303096.6176,4624894940.70316,7707531785.40126,NA,NA,66486221493.217,100882068618.659,66.9440777439024,11.4759489057345,418900.9375,490766.480282625,124552756090.889,238894960897.667,56.58125,62.5121664824803,33.425,33.5794952314653,84.5805251598357,26.2153014479774,55.3796875,14.3881998397703,19857.4468082327,18149.629498529,0.645875,0.214321215313215,1.0210457741294,0.0249422875730616
2003,16307509.75,16463525.4583566,186512295010.923,400847698110.922,188339573544.373,404012506412.137,88143728380.7999,129278144347.294,53705419380.073,97036208231.2039,5493048037.80945,9484445372.05854,NA,NA,78490001405.1143,121051682884.411,67.166449695122,11.2118315611933,418900.9375,490766.480282625,153467432885.457,299295093291.533,54.6,60.137597779315,1.08,0.967987603226405,92.2331371307372,11.6583879795454,55.4055,14.3637740119603,20678.2448404475,19949.074663945,0.651625,0.212856406997769,1.03332017928481,0.0425995539954375
2004,16568957.9375,16624720.8904425,215212600387.545,459397698634.9,217025872556.58,461906012858.195,105943532002.518,153415688497.062,62583987880.8632,110428234488.362,6086782205.70383,10745206729.5588,NA,NA,93760594832.0454,142866174142.511,67.4891798780488,11.2387352322357,418893.4375,490762.656325841,175636505330.398,341552383958.25,52.60625,57.6874043877864,0.46,0.403732584763727,84.9013733334011,24.333028401095,55.5326875,14.1471727998624,22236.3997429051,21511.9175712721,0.658625,0.211772480113289,1.04671654746147,0.0510038539202812
2005,16833205.8125,16769807.3221635,230285188452.048,472880609170.688,231622022418.401,474249198328.502,118913333539.651,163291585496.935,68938344362.4912,112611203502.251,5987886943.92448,9629921724.51875,NA,NA,103533680089.798,154993588981.026,67.7739070121951,11.0739122413494,418889.6875,490760.745023984,184143400316.221,352677674224.289,50.61875,55.2221479571376,0.38,0.303315017762062,90.3387494768415,24.5936121190868,55.537375,14.0247186870183,23922.7370223366,23423.7893616543,0.6635625,0.209890120062856,1.05732505163026,0.0636206166531187
2006,17058776.4375,16864830.9554514,249679101520.027,497153915584.446,250386964871.148,497619717570.794,134656557195.981,180574558672.535,76363135220.7993,118747771098.916,6460853293.21079,9808588566.39937,NA,NA,115760352762.32,175401244077.243,67.9845838414634,11.0092113234772,418896.5625,490764.249421922,181249593215.973,355103576122.931,48.625,52.7530662615928,7.95,21.4382835133786,80.7965893745422,25.7358368867335,55.8296875,13.9704921970977,25816.8600971457,24909.9692987983,0.66925,0.208463745848849,1.06889838143257,0.0736501694311501
2007,17272040.3125,16959820.5546439,286807615395.168,562985562549.116,288438850777.299,565237310518.279,157148251744.97,212193254838.144,88184007791.4822,136495395368.295,7539074395.09138,11069211173.0721,NA,NA,137208270123.79,205893745920.07,68.2945868902439,10.8072029940548,418899.6875,490765.842831211,209251543809.628,402782237729.893,46.575,50.1773454857867,0.28,0.277488738510232,83.7231496175131,25.4961080510661,56.0119375,13.8866692549305,27190.7238734381,25694.3054821497,0.675,0.206716230615789,1.08096654908802,0.0876299838717628
2008,17544158.9375,17098449.2337217,320494064682.551,604516849149.482,326331096672.43,614129898871.801,181444895389.634,232027453801.988,103107817074.383,147370579371.139,8524090872.73217,12052421704.8639,NA,NA,155567367939.54,226494748739.593,68.3134054878049,10.929387847572,418886.5625,490759.152616973,217711798820.723,429092997014.637,46.61875,49.4536580210874,13.5555555555556,24.3838630610036,83.2086906433106,24.2789432710559,56.065875,13.7952230228438,28341.1048381139,26316.0670035651,0.6791875,0.20495827827471,1.08962959874409,0.0944349684755327
2009,17846475.5625,17244527.7937789,288744133961.74,558302734666.916,292271557745.049,562895734363.649,139306869924.092,184542790032.952,82194398286.4827,124292155409.523,7830378202.82275,10465860520.5595,NA,NA,124706350856.358,175719460825.518,69.1727515243903,10.3960633737948,418693.4375,490753.33689203,206271235114.419,403080589702.355,42.7,45.3296665183704,0.36,0.371483512420134,79.96008644104,25.1997819426367,55.5559375,13.7617218179933,26912.3572594383,24156.440645386,0.6861875,0.199453660031597,1.10581578290421,0.109073261280673
2010,18148641.9375,17387103.7355061,295575490744.147,541281690510.209,297776420064.902,544371111574.847,156251977389.209,200206845984.464,86453715769.9777,115481153156.855,8913257500.02275,10906156290.9146,NA,NA,139310333431.055,197633402144.279,69.6447987804878,10.3257623391051,418690.9375,490752.062181773,195542839769.687,376449999071.124,41.08125,43.4184786889945,0.48,0.554075807087803,85.2661963568793,22.274744728417,55.3805625,13.6951671084791,27306.8751575197,23678.522404146,0.692625,0.197565136938007,1.11873757525967,0.117436930173912
2011,18462612.5,17527426.1711256,325785602941.594,580565140363.34,329070305269.368,584592071601.156,182546941530.336,231213369507.938,99146652823.5109,125155407089.535,10122748486.959,12757116964.9233,NA,NA,160021548596.236,228073317044.712,69.9559024390244,10.2072418407267,418692.1875,490753.541157028,212827209170.807,403090297005.481,39.64375,41.2890295155182,8.8,22.0969077776356,84.4702449798584,24.8478760548832,55.7610625,13.6772056671858,27310.7590359486,24663.7879216835,0.697,0.195180941692574,1.12911823434166,0.131574131316496
