"Year","Population_mean","Population_sd","GNI_mean","GNI_sd","GDP_mean","GDP_sd","Exports_mean","Exports_sd","Industry_mean","Industry_sd","Agriculture_mean","Agriculture_sd","GDI_mean","GDI_sd","Imports_mean","Imports_sd","Life_Expct_mean","Life_Expct_sd","Land_km2_mean","Land_km2_sd","Services_mean","Services_sd","Mortality_mean","Mortality_sd","PovertyHCR_mean","PovertyHCR_sd","PrimaryEd_mean","PrimaryEd_sd","Employ_mean","Employ_sd","GDPpc_mean","GDPpc_sd","HDI_mean","HDI_sd","HDI_idx_mean","HDI_idx_sd"
2000,17699004,NA,9739259799.95012,NA,16577533891.8785,NA,4606906376.9471,NA,2310378161.24107,NA,2684757228.51533,NA,NA,NA,4504767963.76507,NA,50.842,NA,318000,NA,5748571027.38512,NA,140.9,NA,NA,NA,42.879810333252,NA,62.32,NA,3040.57593185837,NA,0.454,NA,1,NA
2001,18178913,NA,9920429937.78245,NA,16810537043.8407,NA,4617823364.17054,NA,2383501500.18837,NA,2904372884.20022,NA,NA,NA,4310942884.96073,NA,50.81,NA,318000,NA,5914479307.35085,NA,137.4,NA,NA,NA,47.0666313171387,NA,62.234,NA,2961.76287261349,NA,0.453,NA,0.997797356828194,NA
2002,18654771,NA,10857690467.2455,NA,18054383320.8474,NA,5662064299.80612,NA,2617980931.1896,NA,3382906521.97698,NA,NA,NA,4430687717.01538,NA,50.886,NA,318000,NA,6404320729.4936,NA,133.7,NA,29.1,NA,NA,NA,62.176,NA,2851.03041356263,NA,0.451,NA,0.993392070484581,NA
2003,19125542,NA,13047012644.7845,NA,21251754340.4305,NA,6107969564.25877,NA,3232887258.92706,NA,4415268778.93057,NA,NA,NA,5210727693.41797,NA,50.954,NA,318000,NA,7692836353.44158,NA,130,NA,NA,NA,NA,NA,62.1,NA,2701.74168485547,NA,0.45,NA,0.991189427312775,NA
2004,19595000,NA,14789614207.4577,NA,23510575681.3686,NA,7086390530.61889,NA,3650269624.3991,NA,3912164256.72101,NA,NA,NA,6577555506.55978,NA,51.363,NA,318000,NA,9021729348.73774,NA,126.1,NA,NA,NA,NA,NA,62.19,NA,2794.17325722873,NA,0.451,NA,0.993392070484581,NA
2005,20068458,NA,16439390778.5205,NA,24036918703.1747,NA,7662724560.14131,NA,3899792102.49151,NA,3861575544.13224,NA,NA,NA,7437492764.43435,NA,51.824,NA,318000,NA,9330357458.92949,NA,122.1,NA,NA,NA,NA,NA,62.254,NA,2841.82308794881,NA,0.453,NA,0.997797356828194,NA
2006,20546802,NA,17106470545.5442,NA,25281413263.3712,NA,8302651291.84657,NA,4192658045.82231,NA,4031069494.3419,NA,NA,NA,7799176142.0585,NA,52.355,NA,318000,NA,9592986561.48423,NA,118.2,NA,NA,NA,42.7145881652832,NA,62.389,NA,2941.82141162064,NA,0.455,NA,1.00220264317181,NA
2007,21030558,NA,19561214782.6159,NA,28760090953.3081,NA,8769225735.9938,NA,4740574921.21773,NA,4480461612.61042,NA,NA,NA,8898369156.89254,NA,52.97,NA,318000,NA,11149507022.4033,NA,114.4,NA,NA,NA,43.701530456543,NA,62.354,NA,2984.53472157051,NA,0.458,NA,1.00881057268722,NA
2008,21514439,NA,23421489631.6568,NA,34078240293.2559,NA,10568912669.8982,NA,5932625015.16227,NA,5515728192.50032,NA,NA,NA,10539361094.8121,NA,53.653,NA,318000,NA,12874604197.6261,NA,110.3,NA,34.4,NA,NA,NA,62.423,NA,3115.83789182732,NA,0.461,NA,1.01541850220264,NA
2009,21997940,NA,23436744023.9537,NA,33886813250.2036,NA,12000249512.7388,NA,6105152357.19127,NA,5167597251.30156,NA,NA,NA,10593072868.4675,NA,54.394,NA,318000,NA,13102458377.3522,NA,106.1,NA,NA,NA,44.6389198303223,NA,62.433,NA,3176.63242422091,NA,0.465,NA,1.02422907488987,NA
2010,22488065,NA,23995591357.5247,NA,34936307980.063,NA,11703514551.0641,NA,5581626975.29423,NA,6109981930.22699,NA,NA,NA,11869039598.9273,NA,55.023,NA,318000,NA,13217174292.9387,NA,102.5,NA,NA,NA,NA,NA,62.541,NA,3360.54408822778,NA,0.47,NA,1.0352422907489,NA
2011,22982000,NA,24425274888.759,NA,36693710801.3976,NA,12946046205.3421,NA,6150746845.89107,NA,6783445772.84773,NA,NA,NA,10800620106.4234,NA,55.52,NA,318000,NA,12480681482.1355,NA,99.2,NA,NA,NA,51.8445281982422,NA,62.332,NA,3175.9192237076,NA,0.468,NA,1.03083700440529,NA
2012,23467078,NA,25926659727.4129,NA,36302302877.2977,NA,12699449618.4278,NA,6437289590.55641,NA,5944556504.55562,NA,NA,NA,12821464752.2405,NA,56.158,NA,318000,NA,14407199465.6151,NA,96.1,NA,NA,NA,52.8002891540527,NA,62.41,NA,3290.72306949457,NA,0.474,NA,1.04405286343612,NA
2013,23939775,NA,29861782822.0902,NA,42760235484.6093,NA,12469056844.6353,NA,8115691539.78542,NA,6560660997.79011,NA,NA,NA,12482686215.408,NA,56.748,NA,318000,NA,16596720470.4736,NA,92.8,NA,NA,NA,51.7815589904785,NA,64.302,NA,3619.01790854865,NA,0.48,NA,1.05726872246696,NA
