"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6681564.24581006","6703910.61452514","6586592.17877095","6793296.08938548","6603351.95530726","348603.351955307","353072.625698324","354189.944134078","368156.424581006","396089.38547486","408938.547486034","432402.234636871","477653.631284916","483240.223463687","508379.888268156","502793.296089385","537988.826815642","561452.51396648","486033.519553073","413407.82122905","370949.720670391","555307.262569832","739664.804469274","729050.279329609","936312.849162011","","","","",
"Africa Eastern and Southern","AFE","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","26316343512.3325","24276136538.0798","23120522280.9602","23375642198.9547","23666577153.4907","26076778416.5278","30816973152.9136","35380259244.001","37817787296.6294","44564766445.644","52289111792.8804","29925940079.3314","30518346436.5988","29684700027.248","32480836444.5753","33795902931.0799","37334336081.4872","35447988489.3253","32474649014.5967","35898981968.2137","32623630364.4508","34159898703.1615","39087384256.2004","43548409229.9447","50430704480.9668","58027336318.8922","72849962715.5483","86986481743.1194","89491806730.7596","92637753413.3477","95612534347.2094","103298180354.263","107493186802.716","117103353495.778","115484745574.742","107702626366.089","121109012643.245","120606000121.296","127503286223.709","136688395015.424","145538044079.149","164901839784.019","177253170743.684",
"Afghanistan","AFG","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1477787814.89031","1691686554.69326","1552895061.63349","1930134271.84251","1996430511.50265","2934602243.82149","2516433516.78043","3637622477.63069","4156043696.24108","4227582690.79689","4855571648.43621","4595531180.00041","4537457828.43798","3948217043.4989","4663262627.13517","4954700541.75017","3979453237.53176","4845363322.05338","5981905980.86851","4791018919.53499","4885778832.03434","5949003095.47994",
"Africa Western and Central","AFW","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","33527842973.9556","32025644332.2479","25958982204.2012","24353594677.9255","24942909602.5444","24610466272.6213","27593631594.5001","29082428207.4553","26383046732.0863","30011003135.3844","31536402172.1919","30091440763.5824","31225651760.5652","33883328180.7771","52952204232.0939","67150555636.9698","72801638761.3883","80114735309.8169","33056843585.351","29580877079.6388","34163733852.9444","53164690467.759","57163246471.5668","61229379705.902","72783022426.8321","88999765276.4848","103356467465.951","129130492572.009","120853589899.754","132823677987.676","140566275403.355","150792571764.498","163447745988.583","171900092235.575","155671662243.095","142010185663.873","139699159098.96","156944137308.472","169840030160.213","175699333427.418","182731077306.055","192619704551.753","169487172426.116",
"Angola","AGO","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368504825.790174","528873555.808731","688508306.952096","840031172.522658","387034678.679875","517163213.467318","728860303.868072","892609805.416271","1104099920.46114","1472210369.61056","1870876558.19283","2719245780.83695","3421447161.01812","4254583303.0468","4655177798.32225","5179053447.38064","6534871905.23209","7772338179.8636","8611957356.91188","10261491792.0578","8255567066.3448","5187083682.92144","7381539852.25525","6838910105.14577","5588620583.98399","4824228917.94555","7639008923.57836","14342216414.598","12640699299.2336",
"Albania","ALB","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1165016858.50007","712413087.93456","732872453.029902","832541636.495293","853223432.031554","890950856.188222","957666990.964761","1233309073.68723","1475553858.65087","1517438816.16642","1575348420.47282","1831547685.93859","2168840322.55519","2022750081.80832","2141583008.42955","2349571760.808","2312038877.18616","2499688485.28919","2644330678.80167","2252343961.11954","2354447509.91804","2476628808.46887","2755324397.70104","2830318199.68083","2866329744.13254","3208472473.72488","3229979650.24702","3819957150.42907",
"Andorra","AND","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7407372.64331522","6842609.59082501","6808130.82378467","9920276.63904691","12028535.4022567","12030352.9332747","12229532.5419303","14595591.1173288","16693074.5713616","15454189.2347228","16094200.3334609","17803107.6836682","19169046.9847891","18699901.9922066","17589350.3850752","14323811.4174458","15120296.520686","16787062.2817723","17584412.6511485","16489859.5288098","16173496.9025018","17681967.6354589","16480211.1860232","18111249.5092304",
"Arab World","ARB","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","5458944314.02734","5788306758.58588","6686569471.27244","7362639340.89234","8758762952.98783","9856536027.81604","11793408429.1417","13420359795.3865","15515705444.285","16961262874.5813","19504332030.2675","20213594356.2328","23266171439.0438","25640322201.3134","28164059013.6513","29756202617.1085","32797184598.8281","34856911276.9093","38239444399.4456","41679596339.2191","45479496838.713","51374394621.7078","67347808763.2926","57203268120.3424","41458893256.1763","43162727032.6629","49780091871.91","48844662539.7593","51107772308.2256","52042223261.0328","56013070220.0195","55990335243.1195","56062318478.4964","58094085859.3273","58393173416.4028","61889250923.2686","65334554740.5081","70501124107.2896","80601014804.2939","93869195361.2755","107701330452.539","112498810409.205","122956513889.283","131798315521.828","130643432993.082","137153700931.2","145790812731.695","144348745779.432","137031955581.972","129356562862.91","134550130941.976","141662201644.557","144927775127.775","149868178745.468","159895747166.451","172999576554.086",
"United Arab Emirates","ARE","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","79519650.8203777","104728676.836648","120667127.814926","149565601.048354","170874046.957865","213898550.587816","270498501.770635","298556251.702533","312721329.338055","352220103.514029","375919368.019613","402070280.577499","415962952.873876","434486515.935712","494688095.886679","536638518.114955","669027512.939254","747752655.952057","823753745.573413","1085535276.49142","1174884227.73086","1318714246.79924","1579950967.03895","1650374404.35671","1970319945.54118","2360789652.82505","2312321307.01157","2419605173.58747","2397004765.14636","2461810755.61607","2520353982.30089","2430496936.69163","2518992511.91287","2609938733.83254","2628999319.26481","2206466897.6269","2350542387.08566","2415136179.66089","2534073650.49078","2603546715.00292","2679578389.16724","2772601295.99295","2974791440.34116","3038302971.22739","3121180251.19485","3368537938.50532","3916872954.9472","3535950089.99929","3605117439.79055",
"Argentina","ARG","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","3657647056.60044","2942857060.50856","2420909129.36153","2570000119.25664","2871142801.33423","3043947529.01047","3617599855.69986","3815374911.49548","6280333430.12474","7410889160.41332","3452513642.24721","4171424983.67595","4591960171.9075","6682651626.3937","5399103642.90823","4889779676.74007","5094736992.14826","8090277995.49755","9002848956.56769","9757703167.93748","6729709924.5774","8258471348.61148","8807543104.62087","11392038083.9036","7368764600.79244","11483029984.4353","12742527110.645","13705657846.124","12161011111.1111","13084820500","13808477800","15269958100","15293015300","15702922200","12638962300","13300482400","12275651800","9974343869.19277","13177395614.839","13769497386.4639","15777249624.7271","16129176942.5676","21427791191.1784","26462268578.7967","17559926036.6081","30213817111.0998","37104355520.7365","31567304377.5225","33413631489.5722","35330279234.9601","30669352553.9863","34926979196.276","33672207049.2462","23815691141.681","23814083576.0785","24521654022.3675","35476761997.5008","42006484077.4328","38311319148.5955",
