"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121229050.27933","1195530726.25698","1264245810.05587","1326256983.24022","1377094972.06704","1393586592.17877","1346423463.68715","1266650837.98883","1282296089.38547","1458098882.68156","1606588826.81564","1595335195.53073","1742107262.56983","1863013966.48045","1606810055.86592","1477511731.84358","1839933519.55307","1911810055.86592","2088122905.02793","2184551396.64804","2158564245.81006","2142859776.53631","2243516759.77654","2367134078.21229","2486899441.34078","1315200705.39371","2072291765.39888","2871730317.57014","3223287659.08212",
"Africa Eastern and Southern","AFE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","50162474891.6923","42443864153.8891","36842236331.6552","37631102744.6317","35574982849.5693","33199124553.603","37834415132.7038","47183417272.2382","49562293736.7229","48989141217.7682","52444295253.6151","51483374436.8119","52156181372.5785","54742068955.4436","57966053312.3876","66926971005.0822","69886124384.401","71072293644.1643","67114630250.8989","66051801234.6666","73784425072.6937","71400087012.3359","74717230186.3577","91099924384.6484","114153823793.739","143250395571.221","172260949955.162","213452461209.072","254690078244.495","196090765732.592","251687676378.576","298314601616.693","286553358149.337","282035582115.669","280885711053.418","216730710797.857","193247455276.201","224378709635.18","257148832020.761","242118378709.749","206363450018.775","282463209664.022","329207394352.552","303251837815.133",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2079570874.83738","2045190335.08092","2664599570.76697","2890867894.87049",
"Africa Western and Central","AFW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8725779778.62591","9676099609.87075","13749775665.02","24225651509.9701","33245117538.7161","44319670720.5054","64168423018.915","41310610391.3885","51572807437.8831","67822781239.1048","71632968360.9542","67158241199.6324","60770402473.2912","26926846081.4949","14838933358.413","21373167719.7176","32444713329.5102","28919814315.7895","18583150428.118","31753057845.2236","46344761973.8705","34656621950.2738",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","378073684.210526","430536142.191142","373589755.244755","354685314.685315","335069930.06993","319090897.435897","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758071","189399541.45744","225407402.421557","302465325.386337","371808925.062831","230303544.648943","291949986.768987","540977914.554671","700083398.144547","836717875.539468","910729684.956035","1169850310.53175","1596261928.9261","1853023824.29106","2242665611.80661","3016116354.53989","3259293768.16654","3040047644.65753","3337086708.7743","3769456465.06531","3565050512.4285","3694413338.18786","3732057451.6496","3104897778.14706","3437126527.98196","4110301305.54485","4785182304.89553","4821429218.13325","3435540416.26304","5613909457.81758","7073859853.81833","9104536340.60311",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","282706336332.68","293092103697.256","353184781782.835","468556384226.321","630535587045.16","772885134705.704","898805884506.693","1199862437967.75","844611009523.517","1049475158949.73","1357261714061.64","1523930502030.81","1507350385005.47","1423312996693.59","1040111593631.99","953514585238.234","1091094608546.42","1297104735118.42","1250082361279.7","931631240838.962","1277009439553.84","1789823885340.48","1729357942896.45",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968596324.03","122070878148.4","152433690946.222","186690265486.726","248808168822.328","201958883594.282","238328114363.513","315867937372.362","375513955071.477","392244520081.688","402728114363.513","358529611980.939","360626276378.489","382137508509.19","400217835262.083","404863172226.004","350277358747.447","425155888359.428","521897345132.743","558401542999.774",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","1147183934.48134","1441753549.59206","1424603255.4971","1764705803.20912","1904761830.17968","1818181857.73576","1714285705.23432","2000000041.3448","1769210602.71535","2000000003.29714","2500000047.48951","4000000136.32269","4999999839.57003","3054054017.48759","4695000304.43367","5459999880.58299","7665724159.60188","4508960596.80231","3895791554.63367","5445263189.73462","7663966255.62989","9515669466.75192","8873730058.64697","10345475059.3627","8641279278.3558","8566904947.15056","12094686105.3258","10006623327.0204","14643477444.549","14561091033.0362","15095261860.4905","16357317317.3173","19385100000","24978532000","28381400000","30928400000","31137200000","27862300000","31223690400","31112418400","27736610298.2555","33084505277.8061","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97809980730.5834","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69842604407.3878","72860557902.7631","75766598613.0197","80259482469.139","64053810078.3073","87906118244.6601","102815821983.44","82369725072.6446",
