Country Name,Year,GDI (2022)
Afghanistan,2022,0.622
Albania,2022,0.977
Algeria,2022,0.881
Andorra,2022,
Angola,2022,0.905
Antigua and Barbuda,2022,
Argentina,2022,0.995
Armenia,2022,1.026
Australia,2022,0.978
Austria,2022,0.972
Azerbaijan,2022,0.961
Bahamas,2022,1.007
Bahrain,2022,0.937
Bangladesh,2022,0.914
Barbados,2022,1.03
Belarus,2022,1.003
Belgium,2022,0.975
Belize,2022,0.982
Benin,2022,0.848
Bhutan,2022,0.97
Bolivia (Plurinational State of),2022,0.965
Bosnia and Herzegovina,2022,0.952
Botswana,2022,0.998
Brazil,2022,1
Brunei Darussalam,2022,0.983
Bulgaria,2022,0.995
Burkina Faso,2022,0.881
Burundi,2022,0.926
Cabo Verde,2022,0.981
Cambodia,2022,0.926
Cameroon,2022,0.9
Canada,2022,0.988
Central African Republic,2022,
Chad,2022,0.776
Chile,2022,0.973
China,2022,0.962
Colombia,2022,0.998
Comoros,2022,0.914
Congo,2022,0.909
Congo (Democratic Republic of the),2022,0.891
Costa Rica,2022,0.995
Cote d'Ivoire,2022,0.861
Croatia,2022,0.993
Cuba,2022,0.973
Cyprus,2022,0.977
Czechia,2022,0.988
Denmark,2022,0.981
Djibouti,2022,0.844
Dominica,2022,
Dominican Republic,2022,1.029
Ecuador,2022,0.99
Egypt,2022,0.884
El Salvador,2022,0.972
Equatorial Guinea,2022,
Eritrea,2022,
Estonia,2022,1.022
Eswatini (Kingdom of),2022,0.987
Ethiopia,2022,0.922
Fiji,2022,0.94
Finland,2022,0.989
France,2022,0.986
Gabon,2022,0.982
Gambia,2022,0.94
Georgia,2022,1.005
Germany,2022,0.966
Ghana,2022,0.933
Greece,2022,0.969
Grenada,2022,0.976
Guatemala,2022,0.931
Guinea,2022,0.818
Guinea-Bissau,2022,0.862
Guyana,2022,0.992
Haiti,2022,0.929
Honduras,2022,0.974
"Hong Kong, China (SAR)",2022,0.972
Hungary,2022,0.989
Iceland,2022,0.975
India,2022,0.852
Indonesia,2022,0.94
Iran (Islamic Republic of),2022,0.88
Iraq,2022,0.786
Ireland,2022,0.991
Israel,2022,0.991
Italy,2022,0.969
Jamaica,2022,1.016
Japan,2022,0.968
Jordan,2022,0.863
Kazakhstan,2022,0.998
Kenya,2022,0.948
Kiribati,2022,0.849
Korea (Republic of),2022,0.948
Kuwait,2022,1.014
Kyrgyzstan,2022,0.975
Lao People's Democratic Republic,2022,0.919
Latvia,2022,1.022
Lebanon,2022,0.928
Lesotho,2022,0.999
Liberia,2022,0.86
Libya,2022,0.988
Liechtenstein,2022,0.949
Lithuania,2022,1.028
Luxembourg,2022,0.993
Madagascar,2022,0.945
Malawi,2022,0.926
Malaysia,2022,0.973
Maldives,2022,0.976
Mali,2022,0.83
Malta,2022,0.98
Marshall Islands,2022,0.945
Mauritania,2022,0.874
Mauritius,2022,0.976
Mexico,2022,0.979
Micronesia (Federated States of),2022,0.95
Moldova (Republic of),2022,1.033
Mongolia,2022,1.032
Montenegro,2022,0.978
Morocco,2022,0.851
Mozambique,2022,0.929
Myanmar,2022,0.941
Namibia,2022,1.006
Nauru,2022,1.037
Nepal,2022,0.885
Netherlands,2022,0.96
New Zealand,2022,0.97
Nicaragua,2022,0.949
Niger,2022,0.826
Nigeria,2022,0.886
North Macedonia,2022,0.95
Norway,2022,0.986
Oman,2022,0.937
Pakistan,2022,0.834
Palau,2022,1.007
"Palestine, State of",2022,0.88
Panama,2022,1.017
Papua New Guinea,2022,0.927
Paraguay,2022,0.994
Peru,2022,0.952
Philippines,2022,0.966
Poland,2022,1.009
Portugal,2022,0.998
Qatar,2022,1.027
Romania,2022,0.981
Russian Federation,2022,1.021
Rwanda,2022,0.921
Saint Kitts and Nevis,2022,
Saint Lucia,2022,1.013
Saint Vincent and the Grenadines,2022,
Samoa,2022,0.968
San Marino,2022,0.966
Sao Tome and Principe,2022,
Saudi Arabia,2022,0.928
Senegal,2022,0.925
Serbia,2022,0.986
Seychelles,2022,1.064
Sierra Leone,2022,0.885
Singapore,2022,0.991
Slovakia,2022,1.002
Slovenia,2022,0.999
Solomon Islands,2022,0.959
Somalia,2022,0.769
South Africa,2022,0.985
South Sudan,2022,
Spain,2022,0.988
Sri Lanka,2022,0.947
Sudan,2022,0.868
Suriname,2022,0.987
Sweden,2022,0.983
Switzerland,2022,0.971
Syrian Arab Republic,2022,0.805
Tajikistan,2022,0.919
Tanzania (United Republic of),2022,0.94
Thailand,2022,1.011
Timor-Leste,2022,0.904
Togo,2022,0.848
Tonga,2022,0.996
Trinidad and Tobago,2022,0.992
Tunisia,2022,0.928
Türkiye,2022,0.941
Turkmenistan,2022,
Tuvalu,2022,0.975
Uganda,2022,0.899
Ukraine,2022,1.021
United Arab Emirates,2022,0.986
United Kingdom,2022,0.976
United States,2022,1.005
Uruguay,2022,1.02
Uzbekistan,2022,0.924
Vanuatu,2022,0.936
Venezuela (Bolivarian Republic of),2022,1.002
Viet Nam,2022,1.007
Yemen,2022,0.456
Zambia,2022,0.93
Zimbabwe,2022,0.936
