,Table 4. Gender Development Index,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SDG3,,,,SDG4.3,,,,SDG4.4,,,,SDG8.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender Development Index,,,,Human Development Index,,,,Life expectancy at birth,,,,Expected years of schooling,,,,Mean years of schooling,,,,Estimated  gross national income per capita,,,a
,,,,,,Value,,,,(years),,,,(years),,,,(years),,,,(2017 PPP $),,,
HDI rank,Country,Value,,Group,b,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,
,,2022,,2022,,2022,,2022,,2022,,2022,,2022,c,2022,c,2022,c,2022,c,2022,,2022,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,
1,Switzerland,0.971,,2,,0.949,,0.977,,85.9,,82.5,,16.7,,16.5,,13.5,d,14.3,d,"56,928",,"82,109",e
2,Norway,0.986,,1,,0.957,,0.970,,85.1,,81.7,,19.5,f,17.8,,13.2,d,12.9,d,"61,067",,"77,164",e
3,Iceland,0.975,,1,,0.946,,0.969,,84.3,,81.4,,20.5,f,17.8,,13.9,,13.7,,"45,506",,"63,420",
4,"Hong Kong, China (SAR)",0.972,,2,,0.943,,0.970,,86.9,,81.8,,17.9,,17.8,,12.0,,12.8,,"51,563",,"75,270",e
5,Denmark,0.981,,1,,0.942,,0.960,,83.8,,80.0,,19.4,f,18.2,g,13.2,,12.8,,"51,753",,"72,387",
5,Sweden,0.983,,1,,0.941,,0.957,,85.1,,81.9,,20.7,f,17.5,,12.8,d,12.5,d,"47,828",,"66,019",
7,Germany,0.966,,2,,0.932,,0.964,,83.5,,78.5,,17.4,,17.3,,14.0,,14.5,,"41,022",,"70,040",
7,Ireland,0.991,,1,,0.943,,0.951,,84.4,,81.0,,19.5,f,18.8,g,11.9,d,11.4,d,"66,876",,"108,424",e
9,Singapore,0.991,,1,,0.945,,0.954,,86.3,,82.0,,17.0,,16.8,,11.6,,12.3,,"76,611",h,"99,844",e
10,Australia,0.978,,1,,0.935,,0.956,,85.5,,81.7,,22.0,f,20.2,g,12.8,,12.6,,"41,131",,"57,496",
10,Netherlands,0.960,,2,,0.925,,0.964,,83.9,,80.9,,18.9,f,18.2,g,12.4,,12.8,,"44,139",,"70,575",
12,Belgium,0.975,,1,,0.929,,0.952,,84.4,,80.2,,19.9,f,18.0,,12.5,d,12.6,d,"43,720",,"63,804",
12,Finland,0.989,,1,,0.937,,0.947,,84.9,,79.8,,20.3,f,18.3,g,13.1,d,12.7,d,"42,302",,"56,914",
12,Liechtenstein,0.949,,3,,0.924,,0.974,,86.1,,83.0,i,14.5,,16.4,,12.1,j,14.0,j,"114,829",h,"179,045",e
15,United Kingdom,0.976,,1,,0.926,,0.949,,83.8,,80.4,,18.2,f,17.1,,13.4,,13.4,,"35,910",,"57,591",
16,New Zealand,0.970,,2,,0.924,,0.953,,84.7,,81.3,,20.2,f,19.2,g,12.9,,13.0,,"34,940",,"52,542",
17,United Arab Emirates,0.986,,1,,0.923,,0.936,,81.4,,77.7,,19.8,f,16.4,,12.6,,12.9,,"51,510",,"84,088",e
18,Canada,0.988,,1,,0.929,,0.940,,84.8,,80.9,,16.5,,15.4,,14.0,d,13.8,d,"39,765",,"57,230",
