"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21732.8583139266","23099.9400860323","23889.0450169367","24575.6606597482","25791.0431784591","26254.7428026592","26004.4956279226","27240.8027885838","27412.7551935589","27765.6532571053","30245.7069739744","31920.239071845","31888.5087368958","32507.0843145555","35059.2730980113","35098.7976687362","35937.5946548103","37768.5660136644","38904.9992478386","34339.9391561123","33729.5119101741","35324.0720643325","34095.6471714416","35901.653313159","35657.2871970529","35972.8664446515","36117.5082112517","37524.9284784013","39287.0195169703","39110.2761899842","28976.4635497124","35696.3093722926","41649.4507917816","44967.3445127078",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1804.85002243154","1817.90463980954","1775.85770697325","1766.0449424588","1788.16995819962","1858.43584826568","1944.80337220723","2011.69427199069","2019.40006628533","2052.05669016858","2116.23944530082","2186.6298093824","2249.0414608959","2308.11790418223","2438.89926084254","2602.00567898676","2785.79186487659","2971.97491768737","3082.15141792252","3041.08881865922","3149.01959831958","3253.72350463828","3171.57027555074","3290.84430048203","3426.57581807575","3456.3654480221","3551.06932335969","3703.88660541311","3648.31091074507","3742.84895486287","3629.50800351872","3907.95163712488","4229.68210035357","4374.22953170023",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","813.550255990893","747.688045459929","926.507941009788","966.962032047533","971.633503058856","1076.08735259624","1121.83447075137","1286.9498431073","1333.74726659751","1570.69814518678","1765.53802828895","1744.06062321558","1988.42930381554","2133.24127098647","2224.49074815215","2284.07584789349","2213.1814410479","2335.79586234454","2432.27670083336","2583.48533239877","2561.98176058622","2144.16657002819","2122.99581512665","2211.28063454007",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1727.0984316314","1759.83569506913","1791.20729076133","1764.64515910378","1753.34709834502","1778.28863904752","1844.81890450969","1908.39105378626","1946.77187633932","1953.48642858653","2016.09179050722","2108.60771791953","2278.46226231566","2383.60745625643","2567.07546528633","2722.78711347649","2873.34212288917","3024.43134309402","3185.4187873486","3305.68420669528","3477.31974850969","3620.64951080036","3735.92537325613","3899.64589696862","4103.76560363713","4052.73379670423","3996.86426739138","4063.18504982506","4198.08104224978","4454.15603820527","4441.93733816671","4698.92689418476","5107.2729392421","5343.4685293794",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3340.5984816713","3372.59696858821","3143.440610338","2369.24183154455","2374.02082091628","2695.80598498959","3013.33281304468","3178.49480246135","3254.24447466604","3262.97552882462","3326.77991383311","3427.85394948502","3824.28480436462","3878.50795455112","4262.90601264127","4876.28768389176","5404.38383004397","6095.99926680138","6651.37774105467","6498.16928212825","6607.02219696569","6711.39025723883","7354.94296631261","7561.03920495179","7990.27445672775","7119.72644274401","6843.73589660504","6992.7288342812","7347.79993635052","7528.38241791217","6450.74994625154","7408.12659121059","7924.88880583905","8040.70244971812",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2549.24986094816","1908.94795736904","1823.148093032","2057.29057637753","2289.69204190376","2665.55035780145","2979.8186518441","2717.13783765594","3021.03093102612","3471.66151072582","3861.3041361551","4300.81234082436","4661.39281830022","5000.34329467088","5427.87477337732","5865.30563672047","6566.53515410888","7285.02731350339","8228.34226777512","8812.75594953616","9627.08865200455","10207.7455326501","10526.2643721186","10570.9800140158","11259.2559553602","11662.0057774038","12078.8277189549","12771.0037929102","13696.8427457045","14792.2618929217","14512.053775245","16113.1365187234","19429.9213167081","21208.2100254534",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24908.8709432463","24510.2460829667","23816.8404708944","22958.3257820049","23509.4599836987","24934.3827736476","26541.5814464695","29121.6037064173","30072.7272734117","31589.9582429847","33458.1181631977","36895.4402445087","38787.0522541539","41147.8806959814","42717.2377748966","44577.8193346422","46852.6583900414","47501.4309293902","44838.9949993515","42522.9945649587","43853.1712389445","46436.1158605018","45503.0444835288","45609.2307220926","48505.6017354794","50733.2390011701","53110.1426270832","53084.8639640903","55244.6554088177","57475.0692842215","52095.8414004627","59332.2029100127","68470.075948385","71730.6686821645",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6796.21133474071","7112.91526559409","7541.08524203045","7745.06918155569","7925.42263982863","8091.14169373855","8420.64364705977","8813.05286157723","9149.12310688082","9339.16469877236","9926.76325972434","10119.3224330902","10133.9997875843","10448.0446375195","11465.4962303414","12179.4985103785","12993.1010657083","13591.6080902535","14261.5653891884","14088.2295175153","14651.3194425117","15180.3159629306","16008.8456975336","15901.7745263347","15654.4506056704","14148.1366868659","13685.3401012034","14286.478292971","15319.0196998155","15452.5417546514","14132.444333647","15534.5237971213","17198.6558424865","17634.8156082297",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86949.0094133164","85764.6267930975","86019.0820174207","84860.3093904255","88427.2849036876","92106.9554540565","93008.5703729829","94374.189878331","88693.0306824061","86165.4527143993","91317.6283690281","88831.5766084328","86960.3167462888","91058.6690688492","96981.590791724","99576.6168727168","104995.397894677","99096.7054471438","93017.0906503924","83336.8197425794","83670.9093774571","87709.0444079967","87339.687656397","85514.8024335635","85248.1547348301","71720.3084491294","67702.1473930392","68043.2312133421","75071.1800501443","76884.9468968289","65352.8344194961","67401.1212950201","73777.7443949344","76110.3848456483",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7158.30849127952","7960.97844042597","8667.85280353006","9472.44509946864","10103.0297413485","9890.92470883083","10495.8392453675","11403.4807923124","11835.67698712","11463.853308121","11499.9828002698","11117.754923304","9953.46492878861","10933.3925490662","12117.6797424618","13464.8128469003","14843.5778656186","16455.1129799188","17276.7570884025","16182.0753478429","17847.6110371438","19104.9909405228","19430.4178068112","19928.989490167","19487.4181748868","19899.1499275245","20105.761359796","23385.0740904917","24410.3919063335","23516.8261980886","22393.3479575353","26300.274261175","29597.6938429264","30082.3045247323",
