"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","398268156.424581","473296089.385475","579608938.547486","684245810.055866","757039106.145251","864301675.977654","948994413.407821","1065363128.49162","1225810055.86592","1305474860.3352","1362067039.10615","1508659217.87709","1659776536.31285","1680223463.68715","1849411061.45251","1839207486.03352","1826138994.41341","1990803463.68715","2180507318.43575","1881063631.28492","2363943575.41899","2293013743.01676","2726393631.28492","2465043407.82123","2313385195.53073","2391841396.64804","2499117877.09497","2563517262.56983","2688102402.23464","2838143910.61453","2848406201.11732","2921801005.58659","3061556895.54345","3242394120.10797","2413701726.62848","2824767104.28028","3154132445.31878","3332806320.74332",
"Africa Eastern and Southern","AFE","GNI (current US$)","NY.GNP.MKTP.CD","23462660293.9853","24134038829.8313","26299423039.7139","30877304231.4794","29296734053.9516","33054201908.2656","36221196574.818","37802645748.1471","41046278055.501","46258298484.9978","46779038442.3687","51325013731.2006","55736076788.9762","71777187430.7494","87727854152.6208","93176789562.6041","93664517311.7131","106727559785.426","121693149220.364","138965243363.636","173727850030.295","180956978033.533","173726960383.446","181278018259.029","164975787427.462","142073415553.907","153005379504.974","180294807787.502","195753191150.19","210480447960.11","241854903499.412","260389701779.748","226654578649.631","228473174596.276","231188837872.96","262228568664.384","262048690829.199","276968383841.768","257957100439.114","253792196307.335","274735373992.74","248658014788.831","255754784299.926","341645419843.367","425853526179.774","496002418342.971","555328453598.693","632733609159.791","672596646614.93","686170370848.827","810690014519.265","903403561008.643","917397481419.142","923748972701.109","941999046576.253","867789174331.313","807575172677.952","945229899431.344","983528982247.798","982385679772.03","914963399243.72","1060560076517.22","1160091980612.08","1218903860539.62",
"Afghanistan","AFG","GNI (current US$)","NY.GNP.MKTP.CD","548888848.888889","560000022.222222","557777806.666667","766666706.666667","815555562.222222","1026666677.77778","1428888871.11111","1708888882.22222","1402222182.22222","1437777737.77778","1784444426.66667","1868886653.33333","1631108937.77778","1771108944.44444","2202222228.88889","2417777777.77778","2611111162.22222","3017777697.77778","3371111037.77778","3775743789.47368","3716553247.16553","3551514995.9596","","","","","","","","","","","","","","","","","","","3411145674.07204","2824372441.02049","3886746599.72657","4582016675.61324","5291642598.0037","6280264337.36715","7100373840.59309","9877773213.94871","10107195992.8587","12378340930.5187","15885775064.3022","17781511431.23","19961261595.0253","20209353657.8054","20559672324.9094","19249499438.7455","18350475875.2999","18961769787.4548","18294513957.5523","19080662010.7479","20105156769.1907","14346089107.5906","14540297385.7235","17315384702.8949",
"Africa Western and Central","AFW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","531961511780.915","476328591645.138","557894598007.697","634215539274.437","692722155658.087","784539306650.991","863771866634.15","749895131357.966","678319491735.645","666728742273.399","746906971488.998","804021611215.565","776674565359.091","824612540722.663","853735051100.919","771710648658.27",
"Angola","AGO","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6684938832.80968","6684938832.80968","6684938832.80968","6684938832.80968","10027408249.2145","10027408249.2145","10603784541.197","3498025673.08989","3237547175.39543","1943279029.73498","4771491965.00864","5829677653.68921","6730621459.63535","5537462252.37138","4780893222.00189","7448734939.06306","7375089140.55224","13650936249.8552","16086223620.71","21063493970.0469","32940012222.6995","46203157632.0507","57667388175.1557","74821117368.6838","63484054938.5189","75712612170.385","102092420981.586","117631162045.945","122755567485.072","127708790750.385","85895384573.1888","50010057163.2154","69161228469.8929","73313113234.0482","64488157749.3216","44145038180.9309","61051288255.8458","96358693004.0163","76758270166.8651",
"Albania","ALB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1860537995.338","1898450116.55012","2097426250","2081196250","2051436250","2252990000","2026653750","1077859027.77778","617074990.170926","1219215468.95285","1894750864.46173","2436364853.42107","3271323089.4058","2308847102.93115","2622487165.91691","3287389862.41854","3585007221.82101","4048094111.09564","4457186384.03827","5762066193.23098","7353974652.91914","8214108577.31472","9158294214.47949","10975296958.7017","12946373404.4206","11852736925.0939","11807769437.1323","12894099798.9481","12228069196.1144","12996543353.0861","13349419700.4171","11521811393.6203","12053832974.203","13051517643.6213","15361070727.3542","15383523591.8511","14991229141.5555","17780838454.9845","18686023829.0718","23246482646.2791",
"Andorra","AND","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3462352923.13403","3268595543.70399","3576595365.25519","3715466876.22408","",
"Arab World","ARB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","26118000045.7299","27667758323.2061","29834707840.2537","33804618718.9897","37510656486.9269","41555343730.1004","49058025566.8057","60525452497.7628","76342743907.5335","152061387111.11","172654523814.965","213224993579.709","245403843155.366","270920070490.058","368292787238.416","489818435259.669","498360945608.268","469651653403.636","447071907595.978","447442277225.719","439312763592.338","413026323270.757","439237865007.231","438104196738.856","467887208231.405","649923807217.124","469297113737.443","472950321361.572","480543173876.626","498795668367.49","532196306736.908","574235706432.664","619085442209.15","605967296726.212","660475404601.92","763939541678.243","744581822181.237","739788697408.974","819769186283.701","981197064352.541","1203336181819.71","1447216346844.75","1691769733389.41","2126265509830.3","1827413724950.83","2144096386896.46","2542663540835.52","2788448293177.18","2857183522424.28","2909258493386.6","2558072484226.99","2516064464651.66","2589162264247","2868550950385.99","2898532234619.95","2558127362230.86","2971664571877.03","3601934271354.9","3518279122384.61",
"United Arab Emirates","ARE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","1013827078.89708","1404797336.87899","1949807451.15457","3755519161.4883","11483447260.4885","14704238186.5985","19108219775.658","24243553279.7889","23905226488.8171","33485412239.9281","45645874046.3914","51224321309.4525","48291066999.1828","43184024527.6491","42501107775.538","41960869171.343","33400856614.5464","36432286281.6671","36832778570.4168","42626953329.6105","54023555494.6881","53067268836.8292","55543310460.365","56568307273.2226","60027340288.7497","67623645518.9322","74877992399.891","81394151648.0523","79921625595.6433","84382386766.5078","109429271613.342","108376310415.248","110737372362.151","124291899251.191","148532334921.715","183503880190.606","226854458815.521","266289176310.415","319278420694.35","256161470388.019","300105186118.127","360968069714.954","384909648869.397","400681429679.523","414764318426.712","372018151656.831","371351990633.321","393294203608.06","428473530175.213","420051262918.973","347594186201.473","414443598760.354","502786394013.008","517969779147.295",
"Argentina","ARG","GNI (current US$)","NY.GNP.MKTP.CD","","","25083407626.9357","18744951947.7684","26267861213.2167","29078234021.4454","29796191127.5341","24344243038.8777","26044571826.7842","31036571602.8723","30396317996.8419","33634600190.9299","34199500220.4044","52722220653.6761","72679890116.6394","53148109438.0634","51185002822.6107","56339203222.3998","88487714886.6314","68626165139.2133","76286574003.3819","76842107526.2031","79243829293.0471","98072174234.6778","110861462345.883","83420985728.03","101088864106.72","103754219523.247","121369592383.219","70212893608.0928","135150277010.919","183857364656.529","224521060685.899","233743662862.863","253743263100","253362890700","266647700700","286641204400","291542201400","276059280100","276655968900","260969968100","92763789032.7018","122451951871.839","146361588317.154","176153368006.277","224897476611.227","279994211725.862","352615480862.974","322744327792.305","409192468872.686","515004538945.145","533073608485.977","540185748561.537","515532241212.846","583615452086.538","545251641127.714","627200463933.824","506094045059.703","430166792070.565","375344057341.93","476802271007.631","621165221747.635","632729881149.353",
