"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1141899441.34078","1224022346.36872","1321229050.27933","1392737430.1676","1458100558.65922","1324284916.20112","1316033519.55307","1347128491.62011","1432167597.76536","1527994413.40782","1816622905.02793","1888111173.18436","2005849162.01117","2091921787.7095","1906100558.65922","1846245251.39665","2233917877.09497","2184788268.15642","2328027932.96089","2361241899.44134","2162351955.30726","2101055865.92179","2203529050.27933","2390329608.93855","2448675977.65363","1765708860.35364","2234450998.20535","2797735584.59979","2971926877.70695",
"Africa Eastern and Southern","AFE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50677650606.8983","54244789495.4206","51102039410.9286","51100820135.4734","58723629024.4378","70986777859.5639","72315318019.9032","75178458252.5704","73178230281.9194","68195844293.2973","74239984947.2067","69324176039.9793","74034378944.7205","92951072745.8579","118840501569.608","144715630644.082","170452993957.943","210787949630.976","256461491018.693","225801779483.449","253937006466.489","303716457310.764","315996736233.28","328828307599","323495118622.618","277564309639.515","235393282187.668","258183224906.717","288265342474.682","269600154598.136","226010832764.63","285450984532.109","357002630080.606","343837735859.613",
"Afghanistan","AFG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","37777780","44444446.6666667","51111111.1111111","126666717.777778","144444451.111111","215555548.888889","259999993.333333","237777784.444444","208888900","211111117.777778","208888900","295555548.888889","288888877.777778","255555562.222222","320000000","337777777.777778","380000006.666667","437777795.555556","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7241822542.17594","5286118076.13403","7901784705.74946","8702382078.46623",
"Africa Western and Central","AFW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7370215354.13328","8831519471.79368","10645433208.9363","15181987450.0371","16320510961.119","26207262174.5562","43286269730.1256","44777840385.4964","35682251333.2141","43947410303.4287","45919732961.7043","47727897153.9588","47096036033.19","29985009888.782","13320025154.0847","17134965573.2132","20293075111.1607","12080150067.4291","13399763093.6897","17769653734.8388","26412539213.2023","22211258770.9641",
"Albania","ALB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","371431589.473684","403041958.041958","460407913.752914","405606072.261072","372867132.867133","362610722.610723","336224987.5","335624987.5","408575012.5","483800000","487500000","314316659.722222","627952433.94529","764996711.818738","773426124.188629","836744255.238814","1064684048.35239","795638991.138378","933614580.576872","1097558435.916","1508343772.56819","1771127105.66616","2068787044.40985","2591005963.89867","3220867804.41529","3853672285.64373","4364190439.64205","5867640022.66823","6717539664.41036","6004538203.11457","5792187274.96813","6700234587.48787","5860879346.60531","5999382677.06795","6243003602.57869","5070977347.41792","5436220794.65131","6070375896.83265","6856194784.28986","6926959712.33192","5636282433.58983","8016544325.38479","9033376427.47253","10320399920.5127",
"Andorra","AND","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174634963278.811","178929311549.513","177020620408.589","177746756923.405","164394109438.856","177665506061.586","183016088604.175","196016278355.522","200266104953.383","208474690342.364","228447713835.352","229203705434.632","236569948669.101","270285873326.068","346774869363.447","424841153038.896","504049800034.701","659466582965.663","850720281097.887","763005928230.386","793196099869.199","905876750776.638","1008739745454.98","1065580455603.75","1118807260057.7","1044001212775.55","965855941026.667","1013089426383.73","1062083799087.77","1100291101509.23","956779767367.705","1099539796963.07","1346924114213.73","1435191608074.54",
"United Arab Emirates","ARE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42053369639.2104","47845064669.8434","57668073519.401","78428046289.9932","93862491490.8101","112930428863.172","166134240980.259","219714363512.594","187139823008.85","178610755616.065","215973042886.317","239748672566.372","252509462219.197","275110959836.624","268999319264.806","270714771953.71","285336963921.035","281535738597.685","306004084411.164","297228174693.051","347528931245.745","427991831177.672","481851599727.706",
"Argentina","ARG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","2294367226.53985","1441753153.10994","1424602863.7313","1176470539.39431","1428571371.44429","1212121237.48041","1428571474.83812","2000000041.3448","1495789482.224","2199999958.62685","2374999979.49003","3000000101.96424","4555555489.85516","3135135020.645","3030000057.09425","4159999872.68227","5089538171.53895","4383512570.52097","4989980079.95196","5800000170.81341","5497685333.13496","6068376037.18012","5561048222.66032","5529993735.55397","6695427336.30366","8243255952.41335","7882225528.11663","5041767786.39482","6546496033.45987","11531201153.6445","18606116033.8447","22049649649.6497","27299960000","26038017000","30148400000","37413700000","38667300000","32762700000","33070146000","27603881800","13065823829.1753","18772898618.6064","27736672323.6712","34392237786.5721","40480743015.8524","52567536062.3157","66316154417.0834","48268743529.5373","67937933972.3653","88838309449.3132","78013690406.706","81240190816.9153","73691675720.0984","70064879911.7042","75639254067.6608","89910495566.9384","85681309473.2328","65845624691.108","52454091268.1886","73042905138.0607","96814941605.3868","89748037627.6165",
