"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203335195.530726","206810055.865922","262463687.150838","291620111.731844","267882681.564246","246845251.396648","247564804.469274","259779888.268156","304413407.821229","351674860.335196","384622905.027933","436061452.513967","468039664.804469","460068156.424581","333092178.77095","283293854.748603","326209497.206704","263510055.865922","293234636.871508","301397765.363128","369439664.804469","379334078.21229","383301117.318436","372114525.139665","386171508.379888","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","48357198333.0658","53300160851.8057","47074183888.7102","37282352980.4938","42747188234.5704","53332357367.3401","58328372716.6897","61610237885.0124","71452649148.1021","73956538918.6644","70087313834.5848","66902753922.8835","68143953740.7178","75183588255.2407","75190919866.1926","76466095366.7779","69662730926.7655","68329842815.0108","76802065842.469","69911466360.764","73343772975.2835","94775721087.6149","119242622868.674","144012449710.063","162305793491.768","194075310566.646","218311444897.398","191028261386.802","234795169170.675","272047399195.962","272144118596.122","267960444419.713","266056216958.759","226510627982.497","207495020805.341","255757477241.677","282025739489.626","266786017081.421","237401061641.663","283110953256.246","320753977613.488","312961034192.38",
"Afghanistan","AFG","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910904371.514752","1026746091.73803","1370322677.06576","1663223298.81406","1966786559.55823","2620450316.58903","2720980786.99743","2718780137.13886","3353910674.88631","4048924286.78874","4211954443.84775","4118855390.85473","4351471361.77203","4233263326.94392","1896226793.30444","1885073817.22508","2416829505.36613","2642847031.31387","2584811586.89527","2035422840.20971","2326860951.09003","2330443367.19147",
"Africa Western and Central","AFW","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","82866010575.6324","66381495803.6662","47621603691.2266","36242310893.8028","39776182006.9696","33750629917.6059","33968509476.8241","32394539295.2235","32033695939.8917","39919338716.18","42524025589.7274","40092882719.7538","39980307886.2478","42481336119.8786","74101676514.5383","95621345401.599","96356613463.6599","86797825024.4316","38912659988.2685","45287597718.7253","41757677817.3594","45088881511.1832","56515463337.673","74468299459.8819","92080202771.8486","111413465264.216","125372396601.943","158870128207.532","124477406495.537","162897661872.004","205953965974.221","218209505271.42","238966431332.342","243833112105.833","176800381954.067","148635683106.165","167024359318.292","205576529969.965","227619760201.7","215269374544.385","250872321598.176","268159031983.296","240950020351.03",
"Angola","AGO","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3339044727.78043","5104486961.84217","4646981368.98164","3588659887.19731","4474244151.83828","6584533666.70172","5798068733.95073","8571517677.36827","9461573901.11058","12866473395.9392","22331161132.8161","30438263367.821","40389166936.7341","53348813628.9363","30974801389.272","43884475269.8744","62631898506.1439","72885438986.307","70619923129.8062","62821184462.8624","37947947442.2544","22499436051.1594","31073630489.4581","38081939894.2672","35279479661.2879","22154660663.676","31606170350.4312","47167860859.5662","38394114410.2223",
"Albania","ALB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","555900497.992721","409011588.275392","390725059.539561","531180304.127444","675038886.728515","852498955.868022","1004680718.3179","1349879571.14245","1772143145.16522","2019590337.67953","2251420967.90409","2705669558.11224","3241078532.2975","2940445652.1144","2974272784.79115","3156235401.71377","2823527771.85963","2946365612.97015","2845221843.00341","2478198387.13313","2507690758.60402","2650609029.24189","3653185141.61703","3579202093.62454","3576974730.60285","4045322007.82457","4378731054.80654","5420201112.70474",
"Andorra","AND","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212652553.291384","231063461.824207","265829141.457026","366756133.94278","457668979.374593","506904581.454267","559281383.999182","612384407.029785","633101399.117911","544732274.875541","452825041.836923","432188186.450519","353034231.265438","339095097.773452","332191621.132029","278465545.278896","293738879.040588","311882379.189212","356482928.33282","369146719.594368","366005321.146728","411014085.15039","376780802.706652","470416729.043927",
"Arab World","ARB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","93853470798.7208","120578083104.225","134920552413.639","137889101869.567","206975526722.448","308189446112.511","303547773737.06","243621529294.488","197392207930.254","189439258254.763","172715218971.803","140866945231.626","154903654243.306","156213040499.289","175339599545.599","370542021263.729","187976874152.872","203137421432.145","194265266633.425","201653573315.767","225357579148.582","250719861015.231","274468681243.136","238764882936.321","291259025167.224","381777020979.553","348190124207.717","349433057330.125","393518838575.35","489899687642.154","646419131714.589","786456084797.031","894701380735.004","1189363180549.2","873240965993.624","1082684404262.38","1373036622649.48","1520531529357.95","1493089996936.39","1444991494351.68","1032214460832.26","956529500823.743","1052220652218.21","1280917621946.63","1235605736533.97","943024997711.531","1256934685595.27","1758830629471.73","1529098401044.31",
"United Arab Emirates","ARE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","10892677502.3761","13797876689.3191","16908257115.7738","16181499794.2504","22281241908.3801","31680722022.2449","33725960228.8205","29443203486.7883","26283029147.3713","26259874693.544","24870607463.9063","17703078180.3323","19895668755.1076","19231272132.9338","22837646445.1103","29864342141.106","24115227458.4582","29993189866.5214","28635794061.5636","27434758921.2749","29943067284.1188","34112775810.4059","35815309180.0599","30287542545.9496","35484547311.096","50621375085.0919","51321443158.6113","52212933968.6862","61080190605.8543","76393192648.0599","100501837985.024","128612389380.531","141441797140.912","183031994554.118","131958611300.204","155133077968.46","205952938184.317","217566493186.517","216933711373.052","215292194461.636","160530133990.606","151500186395.895","166079122177.126","200367141958.031","186107900699.712","147386900016.368","195712476377.172","256812208227.052","245361766220.312",
"Argentina","ARG","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","13722940987.1061","14202380230.1166","11493637302.0994","12434857435.1947","14811143096.9913","13353421858.1536","15299799237.7258","15831874374.511","22779001001.4911","31577221374.0778","26293432187.1455","26042050144.5194","27144799968.9717","41049703442.0573","30490501123.1548","31723447656.8833","31736843039.9318","34652778710.3286","43209876321.0791","46424848612.6715","34622280490.9863","39575553312.9852","41161716458.9194","48835751264.5046","32451014291.0677","50917876713.469","62081175458.8359","70198419812.6064","64722201101.1011","68876935900","67865473300","72371587300","79596589500","79855462400","74264967000","73866930600","67828286700","29862244294.3788","41650893934.7656","47449347396.6465","56891104939.9563","67914347258.316","78827167842.031","94990190458.2193","84190456294.3594","107003102712.487","133667164135.528","133378346124.392","132518500700.684","127776703489.575","137702635919.615","122958775736.16","140195929699.173","124485138945.759","103690347876.497","86440113649.2014","114339954178.903","151917410049.266","161883087025.533",
