"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1070223463.68715","1117368715.0838","1219167597.76536","1323396648.04469","1393061452.51397","1481706703.91061","1504312290.50279","1557218435.75419","1582327932.96089","1723966480.44693","1782782122.90503","1821394972.06704","1929291061.45251","2079744692.73743","1934917318.43575","1927166480.44693","2042318435.75419","2080113966.48045","2187212290.50279","2239060893.85475","2344816759.77654","2349049720.67039","2442644134.07821","2612074301.67598","2659842458.10056","","","","",
"Africa Eastern and Southern","AFE","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","67783101437.6091","74913089724.626","69461591699.2104","54679362354.7372","61667467347.3347","80891027292.8586","86474474627.4515","92991946119.1908","112240407832.309","125902635854.841","117579501247.007","119030881251.493","127027275432.679","143553082578.079","140336832521.191","148100447511.097","139711585529.549","140049768737.802","152334288062.385","135609037298.276","137540919744.687","192980329451.017","240029882598.061","273852467347.195","303433506851.56","332974543354.602","344966145799.475","383762763572.781","460501058229.661","510518140346.137","513439186615.127","520071004063.597","525307921230.745","485341761854.411","443737794596.434","522329446764.298","539294138502.997","529227186634.551","480875901167.543","542712619606.492","567512698027.323","570869504462.962",
"Afghanistan","AFG","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1383035241.73185","1692859667.94803","2148001821.45191","2419753109.10924","2776922737.32055","3927880054.94106","4590614691.60195","5617618143.18658","7750640788.72606","8848567676.96903","10069007544.1812","10613685059.4782","10861605729.0307","10186159051.2556","10692983731.6196","10938713019.1724","10737591606.7966","10428579510.35","10491252791.0318","6725074082.51653","6530995142.88942","8021796132.5546",
"Africa Western and Central","AFW","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","100799871519.835","93779397905.0892","67785415147.6963","55110444232.8037","53225326045.2177","50076834179.978","49742002249.5764","48260286848.3687","44375832178.6988","53387707138.4982","55564825575.06","53756123413.1391","57098329650.9716","58196742271.838","81730858919.336","96878792608.7109","103076188697.039","124526480145.719","57369126314.2122","58078023457.0392","63444807196.4087","69445213997.5185","81007726431.575","105649363741.287","129732252425.277","178462711865.574","215558640661.503","255974807755.089","240001380658.824","280464667968.928","308999265250.038","342459284874.862","397847404676.343","438847888260.326","410896874264.298","375046328102.18","352507007685.874","378787916687.878","399032655790.873","369681814581.895","381535615342.643","390153075765.374","351792442640.309",
"Angola","AGO","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1831199706.37654","1893086087.86621","2312887736.89904","2077538547.57436","1291644479.9273","2027898089.98397","2409150079.91255","5794397998.15333","7335803896.7781","9502660139.74419","13134550592.5242","19463137284.1693","22589932331.756","30402585451.5313","34443967456.0992","35101107338.0416","43682772592.6774","50715287562.1982","56621174882.8852","63651400427.2384","44035457377.1107","24787933029.242","34459450712.3278","34328187062.533","29864497022.406","21532555295.9238","27223038047.8703","42986354987.6512","33754501927.8867",
"Albania","ALB","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1272577781.83481","955712338.104976","1120078062.97962","1504366401.15858","1541900449.975","1762710566.61562","1903432764.17356","2351860913.57025","3059269157.86993","3507040244.43555","3871874869.30241","4766339023.66453","5757855415.82627","5458099191.68752","5250899569.44646","5704982880.71025","5538342778.01483","5699089120.29183","6056162305.65036","5270341492.06679","5538844473.08537","6245504831.66624","6828044661.29971","7083964831.56391","6968600657.6162","8158374505.69938","8787754888.82343","11292634364.7638",
"Andorra","AND","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096817610.36361","1164201954.03478","1318734940.56709","1773716052.89139","2169216372.00491","2352475177.72365","2564209029.5463","2950776266.17096","3091675071.05367","2804935346.10219","2656139627.52106","2808047009.73974","2449680864.94354","2491629128.65761","2559888161.40494","2194727448.86519","2262277512.88527","2336191969.67213","2499289457.75723","2446992162.42048","2307464579.26795","2639166727.87712","2643362691.31984","2964124939.08261",
"Arab World","ARB","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","51030752164.1619","65643880815.3003","80587675050.133","96141428108.2098","118450599279.194","146465364382.308","166900316450.245","189652842479.093","196021712013.041","201157270645.691","196614558200.663","195516058983.988","199157195320.557","202298701622.71","214851714630.009","247030970913.148","217929338533.352","196981296983.124","211172668665.191","231327505157.198","246554941733.708","256309811802.193","280582645384.931","293032234646.645","307323726750.239","320525093483.184","333748906268.261","342417137970.51","369753517842.491","425496826611.223","478444419011.161","548752549719.364","652527639469.916","778134316923.819","815530386461.561","928979162368.758","1031984790304.99","1147244231090.13","1228253967561.16","1321489501262.43","1356719544664.49","1380638156377.64","1366325139487.08","1412990823419.17","1474272692197.24","1415193321023.25","1452973911664.39","1566292999524.65","1628315993330.68",
"United Arab Emirates","ARE","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","3748531095.33901","5310553412.63706","7842850921.01555","7444698829.3844","8773543665.65715","11704539477.4995","15336965404.5219","16880958866.7938","16207572868.4282","15195859438.845","15357123399.6186","15838463633.8872","16073277036.2299","16609915554.3449","18132661372.9229","20300463089.0765","26767910651.0488","23498229365.2956","26165622446.1999","30784799782.0757","34625715064.0153","38139743938.9812","41443748297.4666","43736419332.8795","46990605854.3227","51355207624.2342","49677876106.1947","55183662355.3438","60869162695.7114","68969366916.2696","77594826412.5255","91073655547.9918","113955343771.273","129832682450.647","118959748127.978","142849507827.941","152529258986.984","164628496017.855","180750744724.053","196209625582.272","207065757180.393","214982538543.884","221462890399.034","223643987220.088","228760640783.588","198717577382.066","215549443437.764","242383776880.435","265163548992.978",
"Argentina","ARG","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","10964117269.9912","11485714099.174","10342121573.3112","11431999904.4754","13573714888.1425","15186841957.328","14375599430.0652","15085749389.0297","23484555747.5107","33448666807.9643","22692703381.1785","20955999967.1761","25044200286.2054","41317122948.1838","33362723640.4198","40348698854.3405","41845264903.9466","41564430130.8979","51766381500.2642","60732500326.4219","46798901312.5427","58038347952.2603","58841625737.7123","66662445700.6843","36809927191.4336","78951730799.2779","114896696276.875","144874744559.589","144547146546.547","158559337300","160660320300","166966581000","178202602000","183971813200","180002318200","180382168900","174871223300","53529736072.0315","65109794216.4749","78767394915.4843","96359957901.2009","113369649233.368","142351555199.385","181701686479.857","177496448209.616","218147704405.241","274685000000","292963866956.432","297646952435.908","278636495643.778","331958726542.68","312899603968.648","369120480516.862","295839662702.164","248229900148.069","211609016841.665","257071424378.388","338616348779.059","343380569488.136",
"Armenia","ARM","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4852916180.81756","5088042939.41004","5504423594.52149","5088045727.44689","5263630319.99097","5851944195.62224","6554908087.5925","7350764919.50447","6730592379.71801","7366698493.36007","10852671287.9014","14314237158.5813",
"American Samoa","ASM","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","57477777.7777778","65900000","81625925.9259259","96829629.6296296","108633333.333333","125155555.555556","140870370.37037","162225925.925926","186303703.703704","215374074.074074","249822222.222222","296325925.925926","327407407.407407","350003703.703704","368337037.037037","389122222.222222","425622222.222222","471714814.814815","461592592.592593","510285185.185185","554211111.111111","598988888.888889","632322222.222222","697118518.518518","680362962.962963","691451851.851852","727170370.37037","780596296.296296","862548148.148148","932951851.851852","1058459259.25926","1104781481.48148","991148148.148148","956251851.851852","945937037.037037","975911111.111111","982607407.407407","1019596296.2963","1050844444.44444","1059955555.55556","1075159259.25926","1128259259.25926","1180322222.22222","956677777.777778","1095733333.33333","1281259259.25926","1379381481.48148",
"Australia","AUS","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185441007515.893","199824035550.784","201669155839.661","195456717256.886","202015911449.326","229957677457.677","250872343799.436","276486497908.127","254321372854.914","250770773279.86","267879527030.931","243590486647.54","253119314873.038","300618520675.597","394897567221.511","447552142650.414","476552825026.692","549656119965.455","680349414568.55","594607111197.5","754195219053.323","902934445996.748","1007366755966.93","1043692054525.81","963370780534.066","907462242008.901","822189772945.65","886718870786.131","950387560847.053","919377575169.377","880081193175","1023185848765.81","1069981490255.72","1098602754108.95",
"Austria","AUT","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","20961590089.7446","25639024227.7912","30860307021.7","37632640247.0407","41694401191.2359","36527000172.8011","37541489876.583","38394742607.6298","36337760814.2494","37339832402.2346","53734267688.1478","68077031998.2586","73309525242.3938","73622527301.092","92146273750.4538","96831393046.5527","110480353117.956","109854058913.995","117023689916.877","140336794049.406","137468683389.654","123069873717.443","126872225433.526","126208289890.279","115541116558.529","116288375749.323","127507167429.403","156757500061.426","179414449659.506","188812221594.397","201184487745.822","231762622518.938","259403283898.275","245789040977.53","240277641360.917","264496554640.983","249557527641.048","262714889884.862","271210026184.634","235937862934.787","243158446527.539","256656519731.983","281700944380.565","277136802911.043","272855394114.589","299330636794.387","297265695030.847","323707763425.525",
"Azerbaijan","AZE","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3087878787.87879","1830000000","128164206.642066","563785946.486622","453904058.335589","917176555.35403","979944272.208292","1419188909.45018","1927112949.08245","1788763314.09058","1886836732.29917","1967965794.67571","2023938347.85077","2322974384.66379","2760263601.3579","3365590567.58841","4891739278.8588","7149316415.80937","11451766023.2224","13830100910.3203","14779466733.1174","18020833597.1513","20352321977.4835","22926016613.5358","25292504465.4981","21228346887.0661","14651674915.8061","15356083560.1674","16394188999.2865","17579294117.6471","18082294117.6471","20669823529.4118","25274705882.3529","28274117647.0588",
"Burundi","BDI","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","43109714.2428509","48002285.6703979","52977142.8571429","55473163.4375687","67353650.7936508","81940317.4603175","92277101.4492754","105641222.222222","125773333.333333","158472222.222222","213767777.777778","232192222.222222","259678888.888889","275729962.345347","233563612.062484","266219239.373602","301521415.433126","288152314.66494","279850422.023576","260665418.770129","260237657.294678","272570008.759703","245648751.57823","209797128.500824","247634200.892097","284731625.013013","244411876.135425","316892578.402157","299397341.467097","288591809.212861","279678448.110786","306865989.883784","293064146.250265","265421611.922928","311003862.16857","379982133.997842","454623774.858778","541379437.602171","617678723.337148","674092865.693929","750896812.305493","849481130.055741","906493518.87276","883161273.191043","1058714111.22729","1532497331.04717","1260708893.48202","1343646374.46455","1309986090.13217","1232285597.87215","1205066898.82836","1243709375.08243","1514898744.30521","1288626261.21935",
"Belgium","BEL","Services, value added (current US$)","NV.SRV.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180855090311.987","174687557003.257","156854420387.912","161935985774.617","163764011651.352","149311481758.275","151904410340.04","167118147194.079","207746202838.588","240893376291.815","254087025596.264","270059594039.647","311063156568.55","346389239413.516","331019527836.328","327057748530.001","359065157959.145","342281063989.688","360585774200.511","372763237970.116","320090474698.906","330035560408.25","347720949682.942","378092860617.961","373214442186.666","372584484958.912","423417837608.908","415190751799.612","458431082577.263",
"Benin","BEN","Services, value added (current US$)","NV.SRV.TOTL.CD","98655885.0537556","103677313.972576","107576528.39798","113790614.7333","117852652.626494","137413019.898145","131910511.951035","142411349.667293","164020164.361563","166830313.276659","173380978.668126","174778982.212137","212883665.329278","262678826.81413","284993200.048783","360751508.191994","376396372.71476","416937127.569688","477913107.153521","612851648.043863","734744947.280867","702691429.320845","664016587.048939","563944193.389095","521562050.27434","541177554.18","724449167.924091","849241092.336712","846177326.311292","741759356.235431","1036658386.39406","1052287534.72323","904118694.186831","1220606052.96295","868840986.53229","1161130832.65538","1204824802.41566","1149969098.77258","1248583514.81356","1231561894.97329","1243213919.85717","1378324448.79097","1501138918.6039","1990219939.00004","2284043099.89157","2496943048.58281","2760035756.66871","3350116087.72619","4287302865.96543","4293787553.9884","4247752072.26064","5023640848.37066","5445018036.43524","6186414310.39913","6579634237.97775","5607632615.03931","5698131968.66354","6147725807.08565","6960066387.40417","6911869471.12923","7496672586.69123","8117090076.45307","8160316035.74954","9389821878.75711",
"Burkina Faso","BFA","Services, value added (current US$)","NV.SRV.TOTL.CD","126447271.065175","134767628.450224","146707668.375858","145325479.114657","150379310.566619","174043192.457595","176656629.006476","190114632.408434","199523799.625483","206418776.794977","204203354.971329","196761803.918766","236734191.843182","268524005.043349","313270894.272811","379738230.409835","378403759.650733","496677311.380652","631188952.504934","822170793.772166","934776130.610461","860365618.403402","885743519.00723","797946183.532347","721603907.514252","670927085.080014","916975059.714835","1088869326.32177","1185435969.9898","1199276611.29593","1475989592.89587","1453363955.0104","1557724832.96526","1480668823.47473","746624295.123037","940690646.393023","969306529.146973","938272944.361384","1065512828.23075","1489758090.89014","1417192859.69101","1480115765.73877","1688001882.0803","2129291182.60994","2533815976.12516","2738168939.01027","3086357340.1477","3673991982.5289","4259511710.67269","4336899362.50714","4258245114.61291","4900082967.24456","5064453223.18181","5587307029.6162","5925214230.23735","5212992250.36647","5621760772.55022","6201061126.04391","6920252968.82891","7265470193.50872","7967997764.29589","8934609435.26704","8030759401.04698","8869565163.77548",
